,weight,sweetness,juiciness,acidity
1975,2,4,2,3
3547,2,2,3,4
3498,3,4,4,5
705,1,2,2,3
416,3,2,2,3
1997,2,2,2,3
319,2,2,4,4
3443,1,2,2,3
732,1,5,5,3
1036,2,3,2,2
1781,2,3,3,5
1553,1,2,5,2
3909,2,2,4,3
186,2,3,4,4
2135,2,2,2,3
139,1,2,2,4
337,3,3,3,4
2129,1,4,2,4
2256,3,3,2,3
1631,2,4,2,2
2896,2,5,2,4
1451,2,4,4,3
1398,3,2,2,4
2197,1,2,4,4
1682,2,4,5,4
1704,1,3,3,2
3309,1,3,2,3
1389,1,3,3,5
1199,1,2,2,3
905,1,4,3,2
485,1,4,3,3
1544,1,2,2,4
425,1,2,3,2
3677,2,3,3,3
308,1,4,3,2
2683,1,2,3,4
86,2,4,2,2
1982,3,3,2,5
2691,3,5,4,3
3124,1,4,2,3
1173,2,5,5,3
524,1,3,3,3
1841,2,2,4,2
1201,3,2,5,4
3783,3,5,4,2
3749,2,2,2,2
380,2,3,2,3
2280,3,3,2,4
1496,2,5,3,2
628,2,5,2,2
3392,1,2,2,3
1796,2,2,5,5
2259,1,5,2,4
1597,1,4,4,4
3534,1,2,3,3
2485,3,5,5,4
223,2,4,5,3
3043,2,2,3,4
1801,3,3,3,2
2045,3,2,3,4
3244,3,5,2,3
1849,2,2,2,3
2403,3,2,2,2
1495,2,2,3,3
3841,2,5,3,2
2938,3,5,2,2
553,1,5,2,4
3819,3,3,5,3
1867,2,2,3,5
51,2,4,3,3
2650,3,5,4,2
2245,3,3,4,5
976,3,5,5,4
3642,2,4,5,5
352,3,2,2,3
1492,3,2,2,3
1608,3,3,2,3
3728,3,3,5,3
3116,3,4,2,4
1567,1,2,3,3
1549,2,2,2,4
3044,3,2,3,2
2492,3,2,2,2
3344,3,2,4,5
3135,3,5,4,2
1152,3,3,5,4
2060,1,2,5,3
1859,3,2,4,5
2897,1,3,3,2
292,2,4,3,2
2959,2,5,5,2
1673,1,3,3,5
1283,3,2,4,4
2299,2,3,3,2
2851,2,4,2,2
1072,3,2,3,3
3056,1,2,3,3
618,1,5,2,3
2398,1,2,4,3
2387,3,2,3,3
1748,2,3,2,2
534,2,5,2,2
3193,1,2,3,2
1904,2,5,4,2
804,2,3,3,2
675,2,2,2,2
640,1,2,2,2
2349,3,5,3,3
2884,1,2,4,2
1116,2,4,3,3
3640,3,2,2,3
1782,1,4,3,4
3255,1,3,2,2
3090,3,3,3,5
2537,1,2,3,2
64,2,3,3,2
1191,2,2,4,4
15,3,5,4,3
117,2,2,3,4
586,1,3,2,3
918,1,5,2,3
1912,3,2,2,3
426,1,2,3,3
1524,1,3,2,4
3394,1,4,2,3
48,1,3,3,2
3824,2,2,2,2
2743,1,2,3,3
181,3,5,3,2
332,1,2,3,5
779,1,5,4,3
1197,2,2,4,5
3328,1,3,3,2
1703,3,4,5,4
908,1,5,2,2
2817,3,5,3,2
1609,2,2,5,3
2847,3,3,5,2
2822,1,2,3,4
3854,1,4,4,4
2520,3,3,4,3
624,2,5,2,2
3025,3,2,2,5
460,1,2,3,2
3002,2,4,4,2
2356,3,4,2,2
860,2,2,3,3
202,3,4,4,4
2898,1,2,3,2
2930,1,4,3,3
1205,3,4,2,3
2745,1,3,4,5
158,2,5,3,2
2778,1,2,3,3
2189,3,5,4,4
615,2,5,5,4
664,1,5,4,2
740,1,2,4,5
2762,3,2,4,2
1007,2,5,5,3
3645,3,5,3,2
1011,2,3,2,5
1526,1,4,4,2
2957,1,2,2,3
1269,1,5,3,2
1980,3,2,5,2
151,1,4,5,2
109,3,2,3,2
2165,2,3,4,3
773,1,2,4,3
124,3,4,2,3
70,3,3,2,4
2375,1,4,2,2
2472,1,2,2,5
1336,2,2,2,3
1547,2,3,3,3
3118,1,2,2,2
1679,3,4,3,5
2767,1,4,3,3
1635,1,2,3,2
1063,1,5,2,3
2486,1,2,5,2
2263,1,3,3,2
3474,2,3,5,4
1910,1,4,4,2
3651,2,2,5,4
2689,1,3,3,2
2554,1,2,2,2
3285,1,2,2,4
3617,2,5,3,3
3366,1,3,5,4
3017,3,2,5,5
674,1,2,5,4
1285,2,4,3,5
3821,2,4,5,2
2723,1,3,4,3
3410,3,2,3,2
3399,1,3,2,2
2912,3,4,3,3
3967,3,2,4,5
2116,1,4,4,3
1064,1,2,2,3
1843,2,3,4,5
1713,2,5,2,2
2458,1,5,3,4
2456,2,4,3,2
179,3,2,4,3
233,1,3,5,2
2192,1,5,4,2
1946,1,4,2,2
965,1,4,2,3
236,1,2,3,2
402,2,2,2,2
1996,3,5,3,2
29,2,3,2,3
448,2,5,2,4
2230,1,4,4,3
2990,1,3,2,3
1143,1,3,3,3
1306,2,2,3,3
1473,1,2,3,3
1746,1,4,2,2
3593,3,4,2,3
2740,1,2,2,5
3586,1,2,2,3
874,1,2,3,3
3467,2,4,4,3
1803,3,2,2,3
2323,2,2,2,3
2412,1,3,2,3
1944,1,2,2,2
1999,1,5,5,2
3370,1,3,5,4
3856,1,2,4,3
2997,1,3,4,4
3901,3,2,4,3
2972,3,3,3,3
170,3,2,2,3
2270,1,4,3,5
3770,2,3,4,3
2439,1,3,5,5
1976,1,2,2,3
2182,1,3,2,4
2908,3,5,2,2
3377,2,2,2,4
444,2,3,2,5
2183,3,3,3,3
1853,3,5,4,4
2925,3,4,2,3
1754,3,2,5,4
1893,2,2,4,3
968,3,2,5,3
1460,2,5,4,2
3456,2,3,2,3
3514,2,2,3,2
1919,3,5,4,2
2895,1,4,5,4
886,2,3,3,3
3084,1,5,4,3
3720,3,2,4,3
2144,2,5,5,2
3228,3,3,2,4
3922,3,3,2,2
3622,3,4,3,3
2447,1,3,5,5
2332,1,3,2,2
3212,3,2,5,5
1174,2,4,2,4
659,2,2,3,2
1296,1,3,3,2
85,3,4,2,3
1771,2,2,3,3
2303,3,5,2,3
3335,1,2,4,3
1619,1,2,4,2
1569,3,2,5,2
325,3,4,3,4
2677,3,4,5,3
67,2,3,5,4
1018,2,2,2,2
360,3,4,5,4
340,2,3,2,2
3283,3,2,3,5
925,2,3,3,5
1780,2,2,3,4
2850,1,4,5,3
2111,2,4,5,2
1438,3,3,3,3
2883,2,2,2,2
1456,1,2,4,4
2947,1,2,2,3
2970,2,2,2,4
296,1,2,3,5
2651,2,4,4,2
258,1,4,3,2
1832,3,3,3,5
1710,3,4,4,3
560,1,5,2,3
392,1,4,2,4
144,2,3,3,3
1279,3,4,2,3
3049,3,2,5,3
1725,2,3,4,2
489,2,4,2,3
19,1,3,3,3
2241,3,3,4,2
2874,1,2,5,5
2383,1,2,2,3
1536,2,2,2,2
1266,2,4,2,2
2480,1,2,2,2
549,2,5,2,3
1956,1,3,3,4
1360,2,2,3,2
787,3,5,3,2
481,1,2,3,4
1706,2,2,2,3
3943,3,4,5,3
1313,3,2,3,4
1234,1,2,2,2
3455,2,5,2,3
1229,1,2,2,2
987,1,5,4,2
1441,3,2,3,3
535,1,2,2,4
2612,1,2,3,3
3214,1,4,5,2
1193,3,2,4,5
3830,3,3,4,2
1683,2,2,4,2
729,1,2,3,5
1900,3,4,2,2
940,3,5,3,2
973,1,2,3,3
1178,3,2,2,2
1932,2,2,5,4
702,1,5,3,3
762,2,5,2,2
473,2,2,5,2
2114,3,2,3,4
2266,1,3,2,2
2868,2,3,3,3
1822,3,2,2,3
365,1,3,4,5
3513,3,3,3,2
55,1,4,3,4
3512,3,3,2,4
453,1,3,3,4
2150,1,3,2,4
671,1,3,2,4
274,2,3,3,3
2336,3,2,2,4
2746,3,4,3,2
3449,1,3,2,2
3022,3,3,2,4
2832,1,5,2,5
105,2,2,3,3
1003,3,3,2,3
3145,3,3,5,3
2865,1,3,2,3
2671,3,2,3,3
2674,1,2,3,2
3800,2,3,3,3
1876,1,4,2,2
1676,2,2,3,2
3326,3,4,4,2
1542,1,3,3,2
1442,3,3,5,3
3071,2,4,4,2
1485,2,5,4,4
2633,1,3,3,4
540,1,2,2,3
394,2,3,5,4
3522,2,2,5,2
2279,1,3,4,2
981,3,5,4,3
1095,1,2,3,3
1723,1,2,5,4
2201,1,2,4,2
557,2,2,4,4
3060,1,3,2,2
2588,2,4,5,4
1017,3,4,2,2
2885,1,2,4,5
1915,1,5,3,3
2648,1,2,3,3
155,1,4,2,4
3089,1,3,3,2
1010,1,2,4,5
2037,1,5,3,2
3872,3,5,2,4
3793,2,2,2,2
3155,2,4,3,2
1752,3,5,4,3
2802,2,2,2,4
3989,1,3,3,3
1638,1,3,3,2
1078,2,3,3,3
3277,1,5,2,3
1838,2,5,4,4
2362,3,3,4,3
3612,1,2,2,2
1940,1,5,3,2
1824,2,2,3,3
1675,3,2,5,3
2220,1,2,3,2
2140,3,2,3,5
547,1,2,2,2
1128,1,3,3,2
3621,3,3,2,2
3667,1,5,3,4
1426,1,2,4,5
3385,2,2,2,4
3797,1,2,5,4
2506,2,3,2,2
1583,3,3,3,5
2491,2,3,2,3
3272,1,4,2,2
261,2,3,2,5
83,3,2,2,3
1435,1,4,3,2
1392,1,3,2,2
2568,1,3,2,2
2575,2,4,3,2
2239,2,3,3,3
692,2,2,2,5
152,2,2,2,2
235,1,5,3,3
3682,2,2,3,4
2951,1,2,2,2
188,2,4,4,5
1923,1,4,2,3
3942,3,2,2,2
822,3,4,5,3
1773,1,3,4,3
1833,3,2,3,5
885,3,2,3,3
1323,2,3,3,3
2667,1,3,5,2
574,3,5,5,3
2636,3,5,3,2
2246,2,2,2,4
2309,3,4,4,2
1025,3,4,5,4
2168,3,4,2,2
3087,2,3,4,4
1472,3,4,3,2
980,1,5,4,2
1235,1,5,3,2
3982,1,2,3,4
901,1,4,3,4
854,3,2,4,4
1315,2,2,2,3
225,3,2,3,5
3739,3,4,2,3
1698,2,2,2,3
3546,2,3,3,4
536,1,2,2,5
3240,1,3,4,4
723,1,2,3,4
3266,1,4,4,2
3032,3,5,2,3
2089,2,5,3,4
704,3,2,4,4
3368,2,3,5,4
3580,1,4,4,5
1056,2,5,2,2
3705,3,4,3,2
2255,2,3,2,4
1627,1,3,2,2
2622,1,5,4,4
3881,3,3,4,5
2527,2,5,4,3
2668,2,5,4,5
1040,2,2,3,3
3647,1,2,3,4
2193,1,2,3,2
903,1,2,2,4
91,2,2,4,5
1169,1,3,3,2
3468,2,3,2,4
2297,1,3,2,2
56,1,2,2,5
114,3,4,5,5
2886,1,2,2,3
2525,2,5,3,2
359,3,2,4,5
850,2,3,2,2
1346,2,2,4,2
342,2,3,2,2
